pondday,temp,ph,do,chl,pc,amm,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDMI,NDWI,NDCI,NDTI,MNDWI,NDVI,mNDHI,cells_count,cells_prop,pond,day,dark_day
SRI1_1,28.6,8.2,2.7,138.97,4.88,0.44,360.107142857143,450.071428571429,653.821428571429,418.035714285714,785,554.25,572.5,505.642857142857,446.142857142857,657.214285714286,353.25,239.964285714286,0.250288250730508,0.183761068675707,0.309343396534057,-0.22725657458875,0.396916343240821,0.0411114165513252,-0.044921173978679,28,1,SRI1,1,362.527132419342
SRI1_2,29.5,8.27,6.4,85.36,6.82,0.66,2707.33333333333,2331.66666666667,2125.66666666667,1653,1845.66666666667,1504,1392.66666666667,1227.33333333333,1189.66666666667,2531,653,493.666666666667,0.305520143774649,0.267943388670653,0.0550703269422004,-0.125031999100249,0.529921711256724,-0.147863886741207,-0.170269755281177,3,0.107142857142857,SRI1,2,910.69109947644
SRI1_3,29.2,8.23,4.2,177.07,8.4,0.54,359.607142857143,462.535714285714,651.25,420.785714285714,804.892857142857,621.142857142857,639.285714285714,534.607142857143,505.142857142857,576.892857142857,331.428571428571,217.285714285714,0.341748052497853,0.167398146175589,0.316919145882827,-0.223216864877084,0.452729354221309,0.0525071584850375,-0.0567110283717711,28,1,SRI1,3,410.59754601227
SRI1_4,29.7,8.17,4.2,101.82,6.74,0.14,730.607142857143,689.392857142857,844.714285714286,616.714285714286,971.5,760.892857142857,754.107142857143,659.214285714286,621.714285714286,761.821428571429,428.642857142857,272.357142857143,0.279884738592296,0.156767611568141,0.224404786976557,-0.159337663616537,0.402590767542495,0.000517833818207605,-0.0594392762692316,28,1,SRI1,4,612.44705527941
SRI1_5,30.6,8.23,7.7,101.43,7.05,0.15,621.259259259259,704.555555555556,848.962962962963,620.407407407407,991.814814814815,796.851851851852,815.481481481482,692.037037037037,652.259259259259,915.074074074074,434.777777777778,302.518518518519,0.283462271021395,0.128622732753128,0.231875574762566,-0.158927245095635,0.38664048853819,0.0296893064518778,-0.0673537216175315,27,0.964285714285714,SRI1,5,643.150123631226
SRI2_1,28.5,8.14,3.1,118.74,4.97,0.08,311.153846153846,394.923076923077,561.423076923077,362.846153846154,641.038461538462,506.884615384615,535.461538461538,489.269230769231,444.5,794.038461538462,402.884615384615,272,0.116461943162803,0.210297796007498,0.281205578486937,-0.228240730446481,0.307756547975283,0.00883462327107239,-0.0575364875564112,26,1,SRI2,1,362.527132419342
SRI2_2,28.6,8.19,0.8,170.45,8.01,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,SRI2,2,910.69109947644
SRI2_3,29.7,8.19,7,95.73,6.84,0.15,379.230769230769,447.346153846154,595.153846153846,397.423076923077,765.423076923077,715.230769230769,749.076923076923,624.038461538462,561.5,731.230769230769,391.038461538462,258.653846153846,0.339526273781485,0.0612514119071287,0.323190530986707,-0.211598950804134,0.369743127506428,0.1508164680589,-0.0732199049967011,26,1,SRI2,3,410.59754601227
SRI2_4,29.4,8.27,6.3,155.79,6.97,0.13,727.346153846154,678.192307692308,824.884615384615,602.115384615385,941.923076923077,852,868.692307692308,762.038461538462,728.692307692308,902.884615384615,507.423076923077,326.038461538462,0.257029294812776,0.0933919558521263,0.22084227506135,-0.160818684350182,0.329219322198042,0.0663760393484401,-0.0650571433697087,26,1,SRI2,4,612.44705527941
SRI2_5,29.8,8.2,2.2,170.53,8.28,0.24,606.769230769231,669.192307692308,796.153846153846,582.115384615385,943.115384615385,912.5,948.192307692308,811.038461538462,770.692307692308,1076.30769230769,512.923076923077,345.884615384615,0.290067433725278,0.0425656304003557,0.238940017582301,-0.160853550432162,0.316538337776918,0.118200637586045,-0.0759688370753475,26,1,SRI2,5,643.150123631226
SRK1_1,27.9,8.85,7.65,621.83,16.36,0.07,276.041666666667,347.458333333333,652.5,317.25,712.916666666667,846.75,884.416666666667,789.708333333333,672.833333333333,974.583333333333,498.291666666667,339.083333333333,0.317120924478037,0.0263353454223064,0.405515766870076,-0.376697502088885,0.309282467383958,0.358501091532739,-0.0825390906547407,24,1,SRK1,1,362.527132419342
SRK1_2,28.7,8.66,2.04,377.58,19.03,0.07,1354.88888888889,1205.61111111111,1338.55555555556,934.944444444444,1314.88888888889,1433.22222222222,1449.88888888889,1234.83333333333,1155.77777777778,1392.33333333333,528.5,323.888888888889,0.436428010134714,0.053859203366384,0.168853666923801,-0.178171980759133,0.469305635190566,0.124558759195269,-0.127059440295071,18,0.75,SRK1,2,910.69109947644
