"pondday","day.x","pond.x","temp","ph","do","chl","pc","amm","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","pond.y","day.y","pond","day"
"SRK1_2",2,"SRK1",28.7,8.66,2.04,377.58,19.03,0.07,1347.92307692308,1196.61538461538,1332.23076923077,913.153846153846,1284.53846153846,1338.92307692308,1329.84615384615,1101.69230769231,988.769230769231,1254.30769230769,381.076923076923,246.230769230769,"SRK1",2,"SRK1",2
"SRK1_3",3,"SRK1",28.6,8.96,3.86,477.38,22.65,0.08,368.4,427.5,706.4,309.7,667.5,765.1,766.5,569.6,391.1,528,127.5,89.3,"SRK1",3,"SRK1",3
"SRK1_4",4,"SRK1",29.1,8.69,9.18,383.74,18.03,0.09,737.625,671.875,908.1875,551.25,903.1875,1059.875,1094.9375,936.75,819.625,873.625,437.625,268.9375,"SRK1",4,"SRK1",4
"SRK1_5",5,"SRK1",29.6,8.6,4.66,401,17.01,0.3,658,741,961,573,969,1102,1130,894,753,1282,281,203,"SRK1",5,"SRK1",5
"SRV1_1",1,"SRV1",28.6,8.31,3.75,213.31,6.27,0.06,319.55,391.95,617.35,370.75,725.1,564.85,591.1,527.6,470.55,849.35,350.8,249.9,"SRV1",1,"SRV1",1
"SRV1_2",2,"SRV1",28.7,8.09,4.57,98.44,4.68,0.08,1215.15384615385,1091.92307692308,1174.76923076923,889.846153846154,1214.76923076923,1068.53846153846,1061.76923076923,911.846153846154,887.230769230769,1229.69230769231,459.230769230769,293.307692307692,"SRV1",2,"SRV1",2
"SRV1_3",3,"SRV1",29.4,8.66,3.32,185.66,8.58,0.11,323.75,406.05,624.1,364.9,741.3,605.6,639.65,523.15,456.55,505.25,281.15,191.1,"SRV1",3,"SRV1",3
"SRV1_4",4,"SRV1",29.3,8.33,5.4,139.9,4.9,0.13,962.388888888889,776.611111111111,825.777777777778,622.277777777778,817.166666666667,710.555555555556,692.5,590.055555555556,579.055555555556,815.944444444444,351.944444444444,238.444444444444,"SRV1",4,"SRV1",4
"SRV1_5",5,"SRV1",30.2,8.31,6.75,132.31,5.84,0.13,733.5,733.25,753.5,550.25,752.916666666667,615.833333333333,595.333333333333,472.416666666667,449.666666666667,731.75,252.5,173,"SRV1",5,"SRV1",5
"VMS1_1",1,"VMS1",28.7,8.2,2.7,335.43,10.17,0.28,354.75,430.083333333333,611.583333333333,406.833333333333,793.583333333333,822.083333333333,869.916666666667,801.333333333333,739,935.166666666667,550.75,376.25,"VMS1",1,"VMS1",1
"VMS1_2",2,"VMS1",29.2,8.28,2.8,258.82,11.41,0.31,1879.33333333333,1545.66666666667,1544.66666666667,1342.66666666667,1638.66666666667,1608.66666666667,1608,1419.33333333333,1537.66666666667,2293.66666666667,1128.66666666667,873,"VMS1",2,"VMS1",2
"VMS1_3",3,"VMS1",29.6,8.28,5.8,238.28,11.16,0.24,384.181818181818,459.454545454545,627.181818181818,405.181818181818,763.727272727273,801,846.454545454545,726.363636363636,683,588.545454545455,476.818181818182,304.363636363636,"VMS1",3,"VMS1",3
"VMS1_4",4,"VMS1",29.6,8.33,5.7,371.9,14,0.21,822.916666666667,761.75,908,663.25,1042.5,1118.25,1167.41666666667,1036.58333333333,1000.08333333333,897.25,631.416666666667,398.75,"VMS1",4,"VMS1",4
"VMS1_5",5,"VMS1",30.2,8.37,6.8,356.37,13.46,0.24,694.777777777778,738.666666666667,851.666666666667,604.222222222222,970.888888888889,1010.77777777778,1052.88888888889,900.666666666667,854.444444444444,989.444444444444,533.555555555556,354.333333333333,"VMS1",5,"VMS1",5
"VPS3_1",1,"VPS3",28.8,8.16,3.7,126.37,3.97,0.18,329.578947368421,429.684210526316,673.526315789474,454.789473684211,818.684210526316,610.052631578947,654.421052631579,593.736842105263,537,1034.63157894737,407.894736842105,297.368421052632,"VPS3",1,"VPS3",1
"VPS3_2",2,"VPS3",29.2,8.22,3.1,126.34,5.28,0.17,1583.9,1428.3,1342.2,1051.9,1238.1,1031.7,966.1,861,831,1357.8,461.2,312.8,"VPS3",2,"VPS3",2
"VPS3_3",3,"VPS3",29.4,8.21,4.6,85.9,4.04,0.28,384.947368421053,471.052631578947,694.684210526316,473.157894736842,871.421052631579,655.631578947368,698.684210526316,589.947368421053,555.789473684211,779.421052631579,376,257.842105263158,"VPS3",3,"VPS3",3
"VPS3_4",4,"VPS3",29.5,8.22,4,105.07,3.4,0.16,784.5,755.95,973.75,732.3,1126.55,928,940.7,838.55,808.05,973.2,542.85,365.65,"VPS3",4,"VPS3",4
"VPS3_5",5,"VPS3",30.1,8.24,4.2,88.27,3.7,0.18,689.6,767.2,954.7,721.8,1127.85,921.5,959.2,826,794.45,1139.45,539.95,379.45,"VPS3",5,"VPS3",5
"VVR1_1",1,"VVR1",28.5,8.39,5.51,236.18,6.89,0.06,382,440.333333333333,705,334.666666666667,664.333333333333,438.666666666667,414,325,220.333333333333,949.333333333333,244.666666666667,174.666666666667,"VVR1",1,"VVR1",1
"VVR1_2",2,"VVR1",29.5,8.54,7.62,136.97,6.81,0.04,1592.5,1431.5,1522,1090.5,1435.5,1272,1215,1036,972,1648.5,485,306.5,"VVR1",2,"VVR1",2
"VVR1_3",3,"VVR1",29.3,9.04,13.44,142.82,6.49,0.12,410.75,448.5,722.75,357.5,707.75,457.5,429,292.75,230.25,863.5,259,176.5,"VVR1",3,"VVR1",3
"VVR1_4",4,"VVR1",28.3,8.66,3.25,139.85,4.16,0.05,783.75,674.75,932.5,553,858.25,593.5,551.25,440.75,423,1059.5,387.25,255.5,"VVR1",4,"VVR1",4
"VVR1_5",5,"VVR1",29.7,8.85,7.57,80.05,3.65,0.05,888.5,953.5,1260,791,1144,801.5,774.5,644,559,1094.5,351.5,246,"VVR1",5,"VVR1",5
